study_id,split,reliable_contrasts,osf_title,tess_url,field_start_year,tess_page_reports_findings,publication,pub_year,pub_authors,pub_title,pub_venue,pub_url,pub_doi,citations,results_public,published,unclear,coder_a_public,coder_b_public,reconciliation
5g882,seen,1,Understanding How Individual Differences and Context Shape Media Effects,https://www.tessexperiments.org/study/arceneaux558,2014.0,True,no,,,,,,,,True,False,False,True,True,adjudicated
6khjm,seen,20,Vignette Order and the Measurement of Subjective Well-Being,https://www.tessexperiments.org/study/patelM5,2022.0,False,no,,,,,,,,False,False,False,False,False,agreed
6s2q5,seen,3,Are Population-Based Survey Experiments Truly Unparalleled? A Test Using Parallel Designs,https://www.tessexperiments.org/study/leeper354,2012.0,True,yes,2014.0,"Kevin J. Mullinix, Thomas J. Leeper, James N. Druckman, Jeremy Freese",The Generalizability of Survey Experiments,Journal of Experimental Political Science 2(2): 109-138 (online 12 Jan 2016); earlier Northwestern IPR Working Paper WP-14-19,https://doi.org/10.1017/XPS.2015.19,10.1017/XPS.2015.19,1275.0,True,True,False,True,True,adjudicated
6wbd7,seen,9,Does Elite Philanthropy Increase Support for Plutocracy?,https://www.tessexperiments.org/study/schnabel1440,2021.0,False,no,,,,,,,,False,False,False,False,False,agreed
7jt2f,unseen,15,When Others' Disbelief Engenders Prejudice: Characterizing Anti-Atheist Bias in America,https://www.tessexperiments.org/study/swan095,2010.0,True,yes,2012.0,"Lawton K. Swan, Martin Heesacker",Anti-atheist bias in the United States: Testing two critical assumptions,"Secularism and Nonreligion, 1, 32-42",http://www.secularismandnonreligion.org/index.php/snr/article/view/11,,65.0,True,True,False,True,True,agreed
7rt4q,seen,109,Gender Inequality in Product Markets,https://www.tessexperiments.org/study/Tak862,2017.0,True,yes,2019.0,"Tak, Elise, Shelley J. Correll, and Sarah A. Soule",Gender Inequality in Product Markets: When and How Status Beliefs Transfer to Products,Social Forces,https://doi.org/10.1093/sf/soy125,10.1093/sf/soy125,58.0,True,True,False,True,True,agreed
8jv6a,seen,42,"International Law, (Non)Compliance, and Domestic Audience Costs",https://www.tessexperiments.org/study/wallaceS9,2017.0,True,no,,,,,,,,True,False,False,True,True,agreed
9263n,seen,12,"To Do, to Have, or to Share? Valuing Experiences and Material Possessions by Involving Others",https://www.tessexperiments.org/study/caprariello130,2011.0,False,yes,2013.0,"Caprariello, Peter A.; Reis, Harry T.","To do, to have, or to share? Valuing experiences over material possessions depends on the involvement of others",Journal of Personality and Social Psychology,https://pubmed.ncbi.nlm.nih.gov/23276272/,10.1037/a0030953,299.0,True,True,False,True,True,agreed
98muc,seen,2,Displaced International Punishment,https://www.tessexperiments.org/study/liberman073,2010.0,False,no,,,,,,,,False,False,False,True,False,adjudicated
9nphm,unseen,18,Telling the Story Right: Explaining Support for Transgender and Non-Binary Rights,https://www.tessexperiments.org/study/schaadS62,2020.0,False,no,,,,,,,,False,False,False,False,True,adjudicated
9xw67,seen,9,Blame and Bias in Trust in Public Policy Algorithms,https://www.tessexperiments.org/study/ozer1324,2021.0,False,yes,2024.0,"Adam L. Ozer, Philip D. Waggoner, Ryan Kennedy",The Paradox of Algorithms and Blame on Public Decision-makers,Business and Politics 26: 200-217,https://doi.org/10.1017/bap.2023.35,10.1017/bap.2023.35,5.0,True,True,False,True,True,agreed
a5v96,unseen,32,What fosters patients’ acceptance of Clinical Decision Support Systems? The influence of knowledge and provider type on popular willingness to use artificial medical intelligence,https://www.tessexperiments.org/study/mclaughlin672,2015.0,True,no,,,,,,,,True,False,False,True,True,agreed
a693y,unseen,18,Effects of deliberative minipublics on public opinion: experimental evidence from a survey on Social Security reform,https://www.tessexperiments.org/study/ingham423,2013.0,False,yes,2017.0,"Ingham, Sean; Levin, Ines",Effects of Deliberative Minipublics on Public Opinion: Experimental Evidence from a Survey on Social Security Reform,International Journal of Public Opinion Research,https://doi.org/10.1093/ijpor/edw030,10.1093/ijpor/edw030,44.0,True,True,False,True,True,agreed
a7uk3,unseen,3,Can Factual Misperceptions be Corrected? An Experiment on American Public Fears of Terrorism,https://www.tessexperiments.org/study/silverman1035,2018.0,True,yes,2021.0,"Silverman, Daniel, Daniel Kent, and Christopher Gelpi",Putting Terror in Its Place: An Experiment on Mitigating Fears of Terrorism among the American Public,Journal of Conflict Resolution,https://doi.org/10.1177/00220027211036935,10.1177/00220027211036935,3.0,True,True,False,True,True,agreed
ac9jm,seen,3,Understanding the Role of Religious Appeals in Political Communication,https://www.tessexperiments.org/study/weber046,2010.0,True,yes,2012.0,"Weber, Christopher, and Matthew Thornton",Courting Christians: How Political Candidates Prime Religious Considerations in Campaign Ads,Journal of Politics,https://doi.org/10.1017/s0022381611001617,10.1017/s0022381611001617,87.0,True,True,False,True,True,agreed
ak35q,unseen,32,"Price Disclosure Laws for Direct-to-Consumer Pharmaceutical Advertising: Price Transparency, Information Asymmetry and Consumer Behavior",https://www.tessexperiments.org/study/hollin1121,2019.0,False,yes,2021.0,"Hollin, Ilene L., et al.",Attention to price disclosures in direct-to-consumer prescription drug advertising and the impact on drug perceptions,Research in Social and Administrative Pharmacy,https://doi.org/10.1016/j.sapharm.2021.11.003,10.1016/j.sapharm.2021.11.003,3.0,True,True,False,True,True,agreed
ams2u,seen,2,The Electoral Consequences of Elite-Induced Opinion Change,https://www.tessexperiments.org/study/peterson757,2016.0,True,yes,2018.0,Erik Peterson and Gabor Simonovits,The Electoral Consequences of Issue Frames,"The Journal of Politics, 80(4), 1283-1296",https://www.journals.uchicago.edu/doi/full/10.1086/698886,10.1086/698886,12.0,True,True,False,True,True,agreed
ar9e3,seen,4,What Motivates Interest in Politics?,https://www.tessexperiments.org/study/groenendykS79,2021.0,True,yes,2024.0,"Eric Groenendyk, Yanna Krupnikov, John Barry Ryan, Elizabeth C. Connors","Selecting Out of ""Politics"": The Self-Fulfilling Role of Conflict Expectation",American Political Science Review 119(1): 40-55 (FirstView 16 Feb 2024),https://doi.org/10.1017/S0003055423001417,10.1017/S0003055423001417,20.0,True,True,False,True,True,adjudicated
b5a4z,seen,2,Misperceptions of the Global Income Distribution and Preferences for Cross-National Redistribution in the United States,https://www.tessexperiments.org/study/nair644,2015.0,True,yes,2015.0,Gautam Nair,Misperceptions of Relative Affluence and Support for International Redistribution,"The Journal of Politics, 80(3), 815-830",https://www.journals.uchicago.edu/doi/10.1086/696991,10.1086/696991,71.0,True,True,False,True,True,agreed
bsd7j,seen,2,“The Taxpayer Gap”: Perceptions of the Taxpaying Population and Opposition to Welfare Spending,https://www.tessexperiments.org/study/williamson859,2017.0,False,no,,,,,,,,False,False,False,False,False,agreed
bvkfc,seen,4,Does Allowing Firms to Pay to Pollute Reduce the Moral Stigma of Pollution?,https://www.tessexperiments.org/study/kim1585,2023.0,True,yes,2024.0,Hajin Kim,Does Paying to Pollute Make Pollution Seem Less Bad?,"SSRN working paper (later Journal of Law & Empirical Analysis 2(1): 97-120, online 3 Apr 2025)",https://ssrn.com/abstract=4990747,10.2139/ssrn.4990747,0.0,True,True,False,True,True,adjudicated
bwgjp,seen,1,"Public Fears of Terrorism, Partisan Rhetoric, and the Foundations of American Interventionism",,,False,yes,2021.0,"Daniel Silverman, Daniel Kent, Christopher Gelpi",Putting Terror in Its Place: An Experiment on Mitigating Fears of Terrorism among the American Public,Journal of Conflict Resolution 66(2): 191-216 (online 11 Aug 2021),https://doi.org/10.1177/00220027211036935,10.1177/00220027211036935,3.0,True,True,False,False,True,adjudicated
c5r2f,unseen,14,Do Policy Defaults Communicate Choice-Relevant Information?,https://www.tessexperiments.org/study/tannenbaum103,2010.0,False,no,,,,,,,,False,False,False,False,False,agreed
cdgp2,seen,1,"Ballot Privacy, Voter Coercion and the 2020 US General Election",https://www.tessexperiments.org/study/komisarchik1422,2021.0,True,no,,,,,,,,True,False,False,True,True,agreed
cmxkt,seen,252,The Determinants of Congressional Voting,https://www.tessexperiments.org/study/donovan184,2011.0,True,yes,2012.0,"Kathleen M. Donovan, Andrew J. O'Geen, and Matthew J. Lebo",The Electoral Consequences of Legislative Success,"Paper presented at the Midwest Political Science Association Annual Meeting, Chicago, IL, April 12-15, 2012",https://www.tessexperiments.org/sup/DonovanMPSAPaper.pdf,,,True,True,False,True,True,agreed
cug34,seen,1,Public Perception of Money in Families,https://www.tessexperiments.org/study/pepin791,2016.0,True,yes,2017.0,"Pepin, Joanna","Normative Beliefs about Money in Families: Balancing Togetherness, Autonomy, and Equality",OSF Preprints,https://osf.io/xtz69,,0.0,True,True,False,True,True,agreed
d3agv,seen,2,The Effects of Racial and Economic Threat on Support for the 2016 Presidential Candidates,https://www.tessexperiments.org/study/willer845,2016.0,False,yes,2021.0,"Sheridan A. Stewart, Robb Willer",The effects of racial status threat on White Americans' support for Donald Trump: Results of five experimental tests,Group Processes & Intergroup Relations 25(3): 791-810 (online 18 Oct 2021),https://doi.org/10.1177/13684302211048893,10.1177/13684302211048893,21.0,True,True,False,True,False,adjudicated
dh3nj,seen,96,Public Perceptions of Prenatal Alcohol Consumption,https://www.tessexperiments.org/study/calarcoS38,2019.0,False,no,,,,,,,,False,False,False,False,False,agreed
e2pyb,seen,2,Health-Related Racial Inequality Motivates Support for Action,https://www.tessexperiments.org/study/brownM10,2022.0,True,yes,2023.0,"Brown, Riana M., Pia Dietze, and Maureen A. Craig",Highlighting health consequences of racial disparities sparks support for action,Science,https://doi.org/10.1126/science.adh4262,10.1126/science.adh4262,15.0,True,True,False,True,True,agreed
e45hu,seen,2,Racial Bias in Perceptions of Others’ Pain,https://www.tessexperiments.org/study/trawalter210,2011.0,True,no,,,,,,,,True,False,False,True,True,agreed
ef6my,seen,1,All in the Family: The Effects of Familial Attitudes on Women’s Support for Pro-Women Policies,https://www.tessexperiments.org/study/morell1263,2020.0,True,yes,2024.0,"Morell, Sara; Hahn, Lauren; Ostfeld, Mara",Engendering equality: Unraveling the influence of family cues on young men's attitudes toward women's rights,Political Psychology,https://onlinelibrary.wiley.com/doi/abs/10.1111/pops.13063,10.1111/pops.13063,0.0,True,True,False,True,True,agreed
egmxd,seen,4,Do Sustainability Labels Lead to More Sustainable and Healthier Food Choices?,https://www.tessexperiments.org/study/wolfson1443,2021.0,True,yes,2022.0,"Wolfson, Julia A., Aviva A. Musicus, Cindy W. Leung, Ashley N. Gearhardt, Jennifer Falbe",Effect of Climate Change Impact Menu Labels on Fast Food Ordering Choices Among US Adults: A Randomized Clinical Trial,JAMA Network Open,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2799947,10.1001/jamanetworkopen.2022.48320,45.0,True,True,False,True,True,agreed
es4xw,seen,15,Perceptions of Diversity Across Groups,https://www.tessexperiments.org/study/bauman024,2010.0,True,yes,2014.0,"Bauman, Christopher W., Sophie Trawalter, and Miguel M. Unzueta",Diverse According to Whom? Racial Group Membership and Concerns about Discrimination Shape Diversity Judgments,Personality and Social Psychology Bulletin,https://doi.org/10.1177/0146167214543881,10.1177/0146167214543881,43.0,True,True,False,True,True,agreed
fct42,seen,1,What Counts as Racism? How Conceptual Disagreement Fuels Social and Political Division,https://www.tessexperiments.org/study/groenendyk1419,2021.0,True,no,,,,,,,,True,False,False,True,True,agreed
fxcn4,seen,1,Do Victims’ Race and Gender Identity Interact to Predict the Perceived Credibility of Sexual Harassment Claims?,https://www.tessexperiments.org/study/mezzapelle1439,2021.0,True,yes,2023.0,"Mezzapelle, Jennifer L., and Anna-Kaisa Reiman",Do Sexual Harassment Claimants' Gender Identity and Race Influence Third-Party Observers' Assumptions About the Harassment Incident?,Psychology of Women Quarterly,https://doi.org/10.1177/03616843241252658,10.1177/03616843241252658,1.0,True,True,False,True,True,agreed
gdrbk,seen,26,Polls that Matter: Dynamics of Horse Race Polling and Public Evaluation of Poll Reports,https://www.tessexperiments.org/study/kuruBR67,2016.0,False,yes,2017.0,"Kuru, Ozan, Josh Pasek, Michael W. Traugott",Motivated Reasoning in the Perceived Credibility of Public Opinion Polls,Public Opinion Quarterly,https://doi.org/10.1093/poq/nfx018,10.1093/poq/nfx018,91.0,True,True,False,True,True,agreed
gzdnf,seen,6,But how do you feel about climate change? Assessing affective reactions to climate change,https://www.tessexperiments.org/study/swim059,2010.0,True,yes,2014.0,"Swim, Janet K., and Brittany Bloodhart",Portraying the Perils to Polar Bears: The Role of Empathic and Objective Perspective-Taking Toward Animals in Climate Change Communication,Environmental Communication,https://doi.org/10.1080/17524032.2014.987304,10.1080/17524032.2014.987304,131.0,True,True,False,True,True,agreed
hjn6m,seen,5,Judgments of Extremism and Social Information,https://www.tessexperiments.org/study/busby1344,2021.0,True,no,,,,,,,,True,False,False,True,True,agreed
hu45w,seen,6,Factors Affecting Public Opinion on Transgender Medical Care Refusal,https://www.tessexperiments.org/study/grace1119,2019.0,True,yes,2022.0,"Doan, Long; Grace, Matthew K.",Factors Affecting Public Opinion on the Denial of Healthcare to Transgender Persons,American Sociological Review,https://doi.org/10.1177/00031224221082233,10.1177/00031224221082233,16.0,True,True,False,True,True,agreed
hz5rt,seen,1,Is Congress More Polarized than the Public Because it is More Informed than the Public?,https://www.tessexperiments.org/study/lauderdale028,2010.0,True,yes,2013.0,"Lauderdale, Benjamin E.",Does Inattention to Political Debate Explain the Polarization Gap Between the U.S. Congress and Public?,Public Opinion Quarterly,,,,True,True,False,True,True,agreed
j38gd,seen,1,Gender and Non-Attitudes on Foreign Policy,https://www.tessexperiments.org/study/kleinberg305,2012.0,True,yes,2017.0,"Kleinberg, Katja B., and Benjamin O. Fordham","Don't Know Much about Foreign Policy: Assessing the Impact of ""Don't Know"" and ""No Opinion"" Responses on Inferences about Foreign Policy Attitudes",Foreign Policy Analysis,https://doi.org/10.1093/fpa/orw060,10.1093/fpa/orw060,34.0,True,True,False,True,True,agreed
j6xgs,seen,4,"Introducing a Novel Framework for Understanding The Relationships Between Busyness, Idleness, and Happiness",https://www.tessexperiments.org/study/rifkin1073,2019.0,True,no,,,,,,,,True,False,False,True,True,agreed
j986z,seen,14,An Imperfect Match? How Gender and Race Influence Perceptions of Job Applicants by Qualification Levels,https://www.tessexperiments.org/study/weisshaar1206,2020.0,True,no,,,,,,,,True,False,False,True,True,agreed
jkspw,unseen,1,Behavioral Reactions to Skin Infections: Informing Agent-Based Modeling of the MRSA Epidemic,https://www.tessexperiments.org/study/wegener185,2011.0,False,yes,2014.0,"Wilder, Jocelyn R., Duane T. Wegener, Michael Z. David, Charles Macal, Robert Daum, Diane S. Lauderdale","A National Survey of Skin Infections, Care Behaviors and MRSA Knowledge in the United States",PLoS ONE,https://doi.org/10.1371/journal.pone.0104277,10.1371/journal.pone.0104277,9.0,True,True,False,True,True,agreed
k9ahx,seen,4,Assessing the Stability of Value Systems in the Mass Public,https://www.tessexperiments.org/study/ciuk034,2010.0,True,yes,2011.0,"Ciuk, David J.",Value System Stability in the Mass Public,"Doctoral Dissertation, Michigan State University",https://d.lib.msu.edu/etd/373,,,True,True,False,True,True,agreed
kryns,seen,6,The Future of Latinos’ Policy Attitudes Amid the Rising Diversity in the United States,https://www.tessexperiments.org/study/vega1526,2022.0,False,no,,,,,,,,False,False,False,False,False,agreed
kv3sd,seen,7,Perceptions of Legality and Civil Justice,https://www.tessexperiments.org/study/taylorpoppe1574,2023.0,False,no,,,,,,,,False,False,False,False,False,agreed
m52pd,seen,2,Women’s College Advantage and Public Perception of College Value in the Labor Market,https://www.tessexperiments.org/study/Mireles1019,2018.0,True,yes,2020.0,Amanda Mireles,The Constraints of Progress: College Feminization and the Value of the College Degree,"PhD dissertation, Stanford University",https://iriss.stanford.edu/publications/constraints-progress-college-feminization-and-value-college-degree,,,True,True,False,True,True,agreed
mebng,seen,25,"New generation, new notion of news? Measuring news-ness based on relevance, topic, and context among teens",https://www.tessexperiments.org/study/vraga1239,2020.0,True,yes,2023.0,"Vraga, Emily K.; Edgerly, Stephanie",Relevance as a Mechanism in Evaluating News-Ness among American Teens and Adults,Digital Journalism,https://www.tandfonline.com/doi/full/10.1080/21670811.2023.2250829,10.1080/21670811.2023.2250829,6.0,True,True,False,True,True,agreed
mebw9,seen,6687,"Which College Graduates are Perceived as Trainable for Today’s Work World? Perceptions of Race, Gender, Achievement, and the Liberal Arts",https://www.tessexperiments.org/study/quadlin1348,2021.0,False,no,,,,,,,,False,False,False,False,False,agreed
mp3dr,seen,13,Americans' Support for Workplace Interventions for Combating Racial and Gender Bias: The Impact of Policy Justifications and Inequality Beliefs,https://www.tessexperiments.org/study/bielby276,2012.0,True,no,,,,,,,,True,False,False,True,True,agreed
mzm26,seen,3,"Helping the Homeless: Empathy, Race, and Perceptions of Homelessness in America",https://www.tessexperiments.org/study/gross646,2014.0,False,yes,2019.0,"Kimberly Gross, Julie Wronski","Helping the Homeless: The Role of Empathy, Race and Deservingness in Motivating Policy Support and Charitable Giving",Political Behavior,https://doi.org/10.1007/s11109-019-09562-9,10.1007/s11109-019-09562-9,59.0,True,True,False,True,True,agreed
n96d8,seen,1,"Gun Control, Attitude Change, and Bayesian Updating",https://www.tessexperiments.org/study/guess742,2016.0,True,yes,2017.0,"Guess, Andrew M., and Alexander Coppock",Does Counter-Attitudinal Information Cause Backlash? Results from Three Large Survey Experiments,British Journal of Political Science,https://doi.org/10.1017/s0007123418000327,10.1017/s0007123418000327,383.0,True,True,False,True,True,agreed
nb4xg,seen,14,A Randomized Experiment to Test the Effects of Message Frames on Social Stigma and Support for Punitive Policies towards Individuals with Prior Drug Convictions,https://www.tessexperiments.org/study/bandara1015,2018.0,True,yes,2020.0,"Bandara, Sachini, Emma E. McGinty, and Colleen L. Barry",Message Framing to Reduce Stigma and Increase Support for Policies to Improve the Wellbeing of People with Prior Drug Convictions,International Journal of Drug Policy,https://doi.org/10.1016/j.drugpo.2019.102643,10.1016/j.drugpo.2019.102643,47.0,True,True,False,True,True,agreed
ncs7k,seen,1,"Cancel Culture for Friends, Consequence Culture for Enemies: The Effects of Ideological Congruence on Perceptions of Free Speech",https://www.tessexperiments.org/study/faheyS78,2021.0,True,yes,2022.0,"Fahey, James J., Damon C. Roberts, and Stephen M. Utych",Principled or Partisan? The Effect of Cancel Culture Framings on Support for Free Speech,American Politics Research,https://doi.org/10.1177/1532673X221087601,10.1177/1532673X221087601,27.0,True,True,False,True,True,agreed
ndhyr,seen,139,Patient Responses to Medical Error Disclosure: Does Compensation Matter?,https://www.tessexperiments.org/study/mello037,2010.0,True,yes,2012.0,"Lindsey Murtagh, Thomas H. Gallagher, Penny Andrew, and Michelle M. Mello",Disclosure-And-Resolution Programs That Include Generous Compensation Offers May Prompt A Complex Patient Response,"Health Affairs, 31(12), 2681-2689",https://www.healthaffairs.org/doi/10.1377/hlthaff.2012.0185,10.1377/hlthaff.2012.0185,36.0,True,True,False,True,True,agreed
nst3w,seen,7,How Candidate Race Conditions Voter Responses to Negative Ads,https://www.tessexperiments.org/study/krupnikov245,2011.0,True,yes,2015.0,Yanna Krupnikov and Spencer Piston,Accentuating the Negative: Candidate Race and Campaign Strategy,"Political Communication, 32(1), 152-173",https://www.tandfonline.com/doi/full/10.1080/10584609.2014.914612,10.1080/10584609.2014.914612,57.0,True,True,False,True,True,agreed
pjneh,seen,6,Optimizing Surveys: Studying Gender and Health Among LGBT Americans,https://www.tessexperiments.org/study/saperstein1530,2022.0,False,no,,,,,,,,False,False,False,False,False,agreed
py9kw,unseen,14,Reframing Women’s Issues: How Intersectional Identity Frames Affect Women’s Political Attitudes,https://www.tessexperiments.org/study/browerS27,2018.0,True,yes,2022.0,Margaret Perez Brower,Reframing Gendered Issues: Intersectional Identity Frames and Policy Agendas,Political Behavior 46: 331-353 (online 7 Nov 2022; issue 2024),https://doi.org/10.1007/s11109-022-09833-y,10.1007/s11109-022-09833-y,3.0,True,True,False,True,True,adjudicated
q8ra3,seen,1,"Human Rights Shaming, Compliance, and Nationalist Backlash",https://www.tessexperiments.org/study/terman1029,2018.0,True,yes,2023.0,Rochelle Terman,The Geopolitics of Shaming: When Human Rights Pressure Works—and When It Backfires,Princeton University Press,https://doi.org/10.1515/9780691250496,10.1515/9780691250496,57.0,True,True,False,True,True,agreed
q9w6s,seen,22,Candidate Asian-ness and Descriptive Representativeness,https://www.tessexperiments.org/study/wu1435,2021.0,True,yes,2023.0,"Wu, Jennifer D.",National Origin Identity and Descriptive Representativeness: Understanding Preferences for Asian Candidates and Representation,Public Opinion Quarterly,https://doi.org/10.1093/poq/nfad054,10.1093/poq/nfad054,4.0,True,True,False,True,True,agreed
qkhdg,unseen,2,Understanding Ideal Descriptive Representation,https://www.tessexperiments.org/study/senS81,2021.0,False,no,,,,,,,,False,False,False,False,False,agreed
